Species,Longitude,Latitude
Alternanthera philoxeroides,-56.300107,-34.81857
Alternanthera philoxeroides,106.920678,-6.919486
Alternanthera philoxeroides,-82.844891,34.666109
Alternanthera philoxeroides,107.442497,-7.180569
Alternanthera philoxeroides,77.984392,13.102583
Alternanthera philoxeroides,-79.996813,32.971181
Alternanthera philoxeroides,-93.41485,30.829628
Alternanthera philoxeroides,-98.613526,29.480628
Alternanthera philoxeroides,-81.036582,34.88272
Alternanthera philoxeroides,-49.209953,-25.525214
Alternanthera philoxeroides,-81.803177,30.118216
Alternanthera philoxeroides,90.828487,23.405365
Alternanthera philoxeroides,-95.652513,29.990128
Alternanthera philoxeroides,121.743537,24.748651
Alternanthera philoxeroides,-48.514311,-27.699871
Alternanthera philoxeroides,94.48609,26.293636
Alternanthera philoxeroides,112.19025,-7.770314
Alternanthera philoxeroides,108.412219,-7.017106
Alternanthera philoxeroides,-93.234716,30.179035
Alternanthera philoxeroides,88.411906,22.877136
Alternanthera philoxeroides,-80.364393,25.690866
Alternanthera philoxeroides,-34.929477,-8.210912
Alternanthera philoxeroides,79.234297,29.070261
Alternanthera philoxeroides,78.101025,29.375648
Alternanthera philoxeroides,76.725636,32.020153
Alternanthera philoxeroides,-53.716997,-29.717335
Alternanthera philoxeroides,-0.561424,44.870014
Alternanthera philoxeroides,121.191688,31.065236
Alternanthera philoxeroides,-58.967648,-27.408538
Alternanthera philoxeroides,-95.606079,29.76169
Alternanthera philoxeroides,115.803993,25.597853
Alternanthera philoxeroides,-56.42799,-34.762494
Alternanthera philoxeroides,-82.253213,27.682368
Alternanthera philoxeroides,113.349998,23.17
Alternanthera philoxeroides,-57.912661,-34.855321
Alternanthera philoxeroides,-60.674745,-32.83717
Alternanthera philoxeroides,-58.120675,-34.751232
Alternanthera philoxeroides,-57.935487,-34.908938
Alternanthera philoxeroides,120.113532,30.252612
Alternanthera philoxeroides,-77.949989,34.005491
Alternanthera philoxeroides,-81.139999,32.119999
Alternanthera philoxeroides,-56.620031,-28.901936
Alternanthera philoxeroides,175.241725,-37.728056
Alternanthera philoxeroides,-81.763694,26.460286
Alternanthera philoxeroides,120.876452,24.639785
Alternanthera philoxeroides,-54.184549,-32.371036
Alternanthera philoxeroides,175.236534,-37.766195
Alternanthera philoxeroides,-84.95784,32.30481
Alternanthera philoxeroides,113.475636,23.177326
Alternanthera philoxeroides,-79.262862,34.700724
Alternanthera philoxeroides,-83.459812,31.546787
Alternanthera philoxeroides,-95.269183,32.375035
Alternanthera philoxeroides,-46.5395984,-23.5138771
Alternanthera philoxeroides,-95.462296,29.817202
Alternanthera philoxeroides,-121.581763,38.938304
Alternanthera philoxeroides,121.4561,25.098336
Alternanthera philoxeroides,-122.86,38.602828
Alternanthera philoxeroides,121.324433,24.999812
Alternanthera philoxeroides,-97.748603,30.308753
Alternanthera philoxeroides,-92.069473,32.540558
Alternanthera philoxeroides,121.704292,24.935458
Alternanthera philoxeroides,-92.378272,34.993787
Alternanthera philoxeroides,-84.417901,30.022482
Alternanthera philoxeroides,121.540556,25.108333
Alternanthera philoxeroides,121.614085,25.240284
Alternanthera philoxeroides,174.783306,-36.928685
Alternanthera philoxeroides,-58.445697,-34.536116
Alternanthera philoxeroides,-95.286474,30.028932
Alternanthera philoxeroides,-81.691156,27.860595
Alternanthera philoxeroides,120.667527,24.236773
Alternanthera philoxeroides,121.77102,24.827637
Alternanthera philoxeroides,120.845597,24.245253
Alternanthera philoxeroides,121.3924,24.971078
Alternanthera philoxeroides,119.947479,30.092119
Alternanthera philoxeroides,120.564815,23.579652
Alternanthera philoxeroides,-58.209404,-35.128617
Alternanthera philoxeroides,111.116142,-7.609933
Alternanthera philoxeroides,-90.517738,29.633464
Alternanthera philoxeroides,106.045854,-6.029335
Alternanthera philoxeroides,117.267014,31.839855
Alternanthera philoxeroides,-92.178361,32.553136
Alternanthera philoxeroides,77.483477,10.251308
Alternanthera philoxeroides,83.980069,26.898816
Alternanthera philoxeroides,-80.634272,27.904443
Alternanthera philoxeroides,-45.12988,-22.758006
Alternanthera philoxeroides,-95.737464,32.128597
Alternanthera philoxeroides,75.916879,31.901975
Alternanthera philoxeroides,-88.091628,30.589108
Alternanthera philoxeroides,130.261486,33.251747
Alternanthera philoxeroides,112.68374,-7.378642
Alternanthera philoxeroides,-48.838218,-26.336876
Alternanthera philoxeroides,-92.07511,30.430273
Alternanthera philoxeroides,-49.2525,-25.383889
Alternanthera philoxeroides,-81.361321,31.816001
Alternanthera philoxeroides,76.772144,30.704013
Alternanthera philoxeroides,-90.09111,29.999111
Alternanthera philoxeroides,76.834702,29.126444
Alternanthera philoxeroides,-59.807737,-32.846593
Alternanthera philoxeroides,-92.381313,30.663049
Alternanthera philoxeroides,-86.856219,33.401282
Alternanthera philoxeroides,-89.983419,30.02163
Alternanthera philoxeroides,110.428703,-7.759085
Alternanthera philoxeroides,-82.662744,28.173848
